full_name,email,phone_number,national_id,age,gender,region,marital_status,income,balance,credit_score,transaction_amount,created_date,last_login_date,source_system_code,internal_batch_id
Person_020,person_020@example.com,555-0020,238-76-7146,47,M,South,Married,33288.16,,626,387.7,2024-09-08,2024-08-20,SYS_B,BATCH-9821
Person_021,person_021@example.com,555-0021,929-76-4299,72,F,East,Married,39330.13,26279.25,747,206.85,2024-10-26,2024-08-08,SYS_B,BATCH-8259
Person_022,person_022@example.com,555-0022,969-46-3932,62,F,Central,Single,94963.91,9547.08,385,90.86,2024-06-21,2024-07-12,SYS_A,BATCH-3029
Person_023,person_023@example.com,555-0023,914-42-1687,30,Other,Southwest,Single,68252.8,31251.2,427,10.64,2024-04-01,2024-09-25,SYS_A,BATCH-9036
Person_024,person_024@example.com,555-0024,522-80-2705,27,F,Southeast,Single,49417.74,14740.21,467,36.13,2024-09-17,2024-11-02,SYS_A,BATCH-4794
Person_025,person_025@example.com,555-0025,516-21-7177,56,F,Southeast,Married,38928.69,23224.43,488,369.81,2024-03-09,2024-08-11,SYS_A,BATCH-5399
Person_026,person_026@example.com,555-0026,527-39-3041,20,M,South,Married,39473.45,14573.58,789,19.75,2024-12-30,2024-06-29,SYS_A,BATCH-6026
Person_027,person_027@example.com,555-0027,607-69-9461,38,F,East,Divorced,57749.69,14754.05,703,10.48,2024-04-26,2024-09-24,SYS_A,BATCH-7941
Person_028,person_028@example.com,555-0028,492-24-8493,26,M,Central,Married,65649.45,10327.77,599,124.54,2024-05-07,2024-11-01,SYS_A,BATCH-2082
Person_029,person_029@example.com,555-0029,666-72-1874,19,F,North,Married,31138.22,15952.99,597,462.52,2024-09-22,2024-08-31,SYS_A,BATCH-5852
Person_030,person_030@example.com,555-0030,380-78-8489,75,M,East,Married,49923.16,17543.99,788,283.14,2024-01-05,2024-08-14,SYS_B,BATCH-8350
Person_031,person_031@example.com,555-0031,491-81-8574,23,F,East,Single,20000.0,8725.93,546,433.32,2024-03-15,2024-07-27,SYS_B,BATCH-5935
Person_032,person_032@example.com,555-0032,448-89-3594,18,F,North,Married,54494.6,13999.64,424,109.11,2024-02-15,2024-11-14,SYS_B,BATCH-3471
Person_033,person_033@example.com,555-0033,315-70-6730,76,F,Central,Single,71759.43,10119.21,375,162.19,2024-05-22,2024-12-05,SYS_A,BATCH-1506
Person_034,person_034@example.com,555-0034,225-84-2798,29,F,Southeast,Married,42615.17,33397.31,481,133.2,2024-07-21,2024-11-18,SYS_A,BATCH-5942
Person_035,person_035@example.com,555-0035,823-10-8170,69,M,North,Single,121572.19,14282.15,659,293.5,2024-03-06,2024-10-02,SYS_B,BATCH-7329
Person_036,person_036@example.com,555-0036,807-79-6982,19,F,Central,Married,31551.64,27361.86,559,133.92,2024-05-05,2024-11-09,SYS_B,BATCH-5946
Person_037,person_037@example.com,555-0037,523-72-3493,27,M,Northwest,,54650.86,13435.02,532,322.88,2024-10-08,2024-09-10,SYS_A,BATCH-9813
Person_038,person_038@example.com,555-0038,801-59-5129,24,M,Southeast,Single,48150.54,17074.3,564,121.02,2024-12-09,2024-07-03,SYS_A,BATCH-6423
Person_039,person_039@example.com,555-0039,554-60-1335,62,M,Northwest,Married,46623.09,,837,102.74,2024-01-06,2024-09-05,SYS_A,BATCH-5573
Person_040,person_040@example.com,555-0040,225-31-2030,57,M,West,Married,46297.3,11423.42,849,186.61,2024-08-17,2024-11-06,SYS_B,BATCH-1499
Person_041,person_041@example.com,555-0041,495-69-6889,47,M,Northwest,Single,51717.55,16684.28,388,61.11,2024-01-10,2024-10-26,SYS_A,BATCH-6026
Person_042,person_042@example.com,555-0042,523-86-6086,33,F,South,Married,74905.26,27688.03,363,1828.45,2024-07-08,2024-12-29,SYS_B,BATCH-2517
Person_043,person_043@example.com,555-0043,171-78-6170,23,F,East,Married,97622.97,16775.86,434,176.34,2024-11-17,2024-12-30,SYS_A,BATCH-7521
Person_044,person_044@example.com,555-0044,670-60-5981,53,F,South,Widowed,48965.68,,769,201.58,2024-10-18,2024-08-12,SYS_B,BATCH-2450
Person_045,person_045@example.com,555-0045,181-59-8153,32,M,West,Widowed,73692.63,20125.83,553,195.69,2024-03-25,2024-06-30,SYS_B,BATCH-9159
Person_046,person_046@example.com,555-0046,373-63-1277,55,M,West,,34513.87,28019.21,775,6.63,2024-04-04,2024-08-18,SYS_B,BATCH-3718
Person_047,person_047@example.com,555-0047,412-48-9843,61,M,South,Married,71896.13,14527.66,656,216.3,2024-10-12,2024-12-08,SYS_A,BATCH-4905
Person_048,person_048@example.com,555-0048,292-34-4676,71,F,Southeast,Married,33490.07,34121.78,604,336.24,2024-10-26,2024-11-26,SYS_B,BATCH-2304
Person_049,person_049@example.com,555-0049,992-85-1312,49,F,East,Single,84569.59,11116.83,455,179.13,2024-04-12,2024-07-17,SYS_B,BATCH-2896
Person_050,person_050@example.com,555-0050,310-83-1524,18,M,East,Single,148052.24,8868.31,489,215.2,2024-01-02,2024-07-28,SYS_A,BATCH-9296
Person_051,person_051@example.com,555-0051,869-35-9257,35,F,North,Widowed,46117.97,5319.58,381,181.78,2024-06-11,2024-10-11,SYS_A,BATCH-3552
Person_052,person_052@example.com,555-0052,363-48-6956,71,M,West,Single,20000.0,33648.2,586,379.41,2024-08-14,2024-10-29,SYS_A,BATCH-5616
Person_053,person_053@example.com,555-0053,213-59-5544,51,M,East,Married,37270.73,21555.58,454,116.83,2024-06-10,2024-12-27,SYS_A,BATCH-9831
Person_054,person_054@example.com,555-0054,804-98-6978,57,M,East,Divorced,90756.7,12327.03,461,88.68,2024-12-07,2024-11-15,SYS_A,BATCH-6611
Person_055,person_055@example.com,555-0055,467-46-4761,46,M,South,Single,64636.75,24992.18,321,144.46,2024-10-23,2024-08-07,SYS_B,BATCH-1374
Person_056,person_056@example.com,555-0056,831-38-2502,28,F,Southeast,Married,55517.68,20501.54,740,187.64,2024-10-14,2024-07-05,SYS_B,BATCH-4217
Person_057,person_057@example.com,555-0057,400-12-1955,74,F,Midlands,Widowed,81172.69,30729.02,817,151.05,2024-01-08,2024-10-24,SYS_B,BATCH-4481
Person_058,person_058@example.com,555-0058,180-78-7500,66,M,Central,Married,62456.57,2617.34,574,158.62,2024-11-07,2024-10-09,SYS_B,BATCH-3485
Person_059,person_059@example.com,555-0059,726-51-7452,80,F,Northeast,Single,90116.86,12877.12,595,216.38,2024-10-02,2024-12-16,SYS_B,BATCH-3170
Person_060,person_060@example.com,555-0060,244-90-5508,71,F,Southwest,Single,77630.2,11299.83,810,6.41,2024-05-24,2024-10-13,SYS_B,BATCH-5528
Person_061,person_061@example.com,555-0061,943-23-5475,36,F,Midlands,Widowed,104909.17,-789.46,581,941.16,2024-08-03,2024-09-29,SYS_A,BATCH-4392
Person_062,person_062@example.com,555-0062,725-54-5014,34,F,Northeast,Single,58653.24,23482.62,643,151.6,2024-10-27,2024-08-24,SYS_B,BATCH-3648
Person_063,person_063@example.com,555-0063,249-43-3148,33,M,Southwest,Married,77082.36,12836.83,535,194.98,2024-11-26,2024-07-14,SYS_A,BATCH-4716
Person_064,person_064@example.com,555-0064,371-70-6671,75,F,Midlands,Single,42042.51,20917.05,583,384.72,2024-07-20,2024-12-08,SYS_A,BATCH-4092
Person_065,person_065@example.com,555-0065,645-42-9636,53,M,Northwest,Married,36288.99,33878.18,587,144.5,2024-01-16,2024-11-28,SYS_A,BATCH-3058
Person_066,person_066@example.com,555-0066,178-40-2061,46,Other,West,Widowed,115080.12,,691,253.95,2024-08-13,2024-07-29,SYS_B,BATCH-5074
Person_067,person_067@example.com,555-0067,404-95-4296,79,M,North,Married,54617.1,11630.78,632,865.21,2024-09-05,2024-11-06,SYS_A,BATCH-9479
Person_068,person_068@example.com,555-0068,916-54-7296,56,F,North,Widowed,73309.12,15949.31,577,210.69,2024-01-22,2024-09-04,SYS_B,BATCH-5551
Person_069,person_069@example.com,555-0069,511-33-7877,75,M,Central,Single,52149.51,22897.98,341,431.82,2024-10-25,2024-09-17,SYS_B,BATCH-6377
Person_070,person_070@example.com,555-0070,971-33-8007,80,M,Central,Married,36561.18,10466.3,798,296.8,2024-03-14,2024-12-03,SYS_A,BATCH-9857
Person_071,person_071@example.com,555-0071,334-73-8100,23,F,West,Divorced,49290.74,9952.31,789,148.02,2024-11-21,2024-12-01,SYS_A,BATCH-6521
Person_072,person_072@example.com,555-0072,503-75-3449,40,F,Central,Married,100508.44,23457.51,401,170.86,2024-07-20,2024-08-03,SYS_A,BATCH-3009
Person_073,person_073@example.com,555-0073,171-18-5022,64,M,Central,Single,64706.7,18029.11,461,49.85,2024-04-27,2024-08-24,SYS_B,BATCH-4585
Person_074,person_074@example.com,555-0074,911-21-5101,69,F,Northwest,Divorced,20832.37,-1357.83,836,206.28,2024-01-22,2024-11-27,SYS_A,BATCH-5391
Person_075,person_075@example.com,555-0075,732-28-7493,27,F,North,Married,44019.05,5196.87,476,155.45,2024-01-07,2024-12-15,SYS_B,BATCH-5272
Person_076,person_076@example.com,555-0076,375-81-6212,38,M,South,Married,119508.99,27009.89,747,127.71,2024-09-27,2024-07-13,SYS_A,BATCH-2345
Person_077,person_077@example.com,555-0077,591-25-5168,52,F,Northwest,Widowed,44050.92,18215.43,732,51.43,2024-05-17,2024-11-30,SYS_B,BATCH-1952
Person_078,person_078@example.com,555-0078,870-11-7825,68,F,Southwest,Single,20000.0,8902.43,774,160.55,2024-11-02,2024-09-27,SYS_B,BATCH-4149
Person_079,person_079@example.com,555-0079,542-74-6969,25,F,Midlands,Single,126313.78,13636.72,308,567.77,2024-03-25,2024-10-16,SYS_B,BATCH-9227
Person_080,person_080@example.com,555-0080,488-37-6645,55,M,Southwest,Single,68954.09,15105.89,566,49.98,2024-12-01,2024-07-12,SYS_B,BATCH-7455
Person_081,person_081@example.com,555-0081,226-61-1852,36,M,Southwest,Married,47334.45,20885.87,611,184.69,2024-12-09,2024-11-01,SYS_A,BATCH-8574
Person_082,person_082@example.com,555-0082,684-65-1759,31,F,East,Single,40712.53,4133.89,761,75.16,2024-02-07,2024-11-01,SYS_B,BATCH-2569
Person_083,person_083@example.com,555-0083,780-47-8081,50,F,West,Married,84219.01,8272.41,423,96.44,2024-08-24,2024-10-29,SYS_A,BATCH-4728
Person_084,person_084@example.com,555-0084,137-25-5445,44,F,South,Single,37384.38,17183.65,469,8.29,2024-12-08,2024-11-22,SYS_A,BATCH-6231
Person_085,person_085@example.com,555-0085,269-39-6944,58,Other,Northeast,Married,87040.45,14201.32,399,502.09,2024-04-27,2024-12-21,SYS_A,BATCH-4908
Person_086,person_086@example.com,555-0086,229-70-1930,38,F,Midlands,Single,64286.03,19574.87,719,30.62,2024-01-25,2024-12-03,SYS_B,BATCH-4749
Person_087,person_087@example.com,555-0087,257-62-8140,69,F,East,Married,55400.34,5163.94,850,184.43,2024-11-15,2024-11-13,SYS_B,BATCH-4237
Person_088,person_088@example.com,555-0088,253-36-9325,22,F,Central,Single,52720.38,17857.03,377,191.12,2024-06-22,2024-12-27,SYS_B,BATCH-1464
Person_089,person_089@example.com,555-0089,989-61-5022,72,F,East,Married,44914.5,23732.67,428,244.38,2024-01-10,2024-10-31,SYS_A,BATCH-8714
Person_090,person_090@example.com,555-0090,411-64-6317,19,M,South,Married,82687.2,18894.55,469,45.0,2024-11-02,2024-10-31,SYS_A,BATCH-9396
Person_091,person_091@example.com,555-0091,364-12-2363,64,M,South,Married,31803.4,16112.89,789,388.49,2024-09-04,2024-10-07,SYS_B,BATCH-1727
Person_092,person_092@example.com,555-0092,961-47-5340,39,F,North,Divorced,21786.32,14232.93,545,112.16,2024-01-26,2024-11-18,SYS_B,BATCH-4722
Person_093,person_093@example.com,555-0093,519-79-1584,42,M,Midlands,Married,66650.65,8321.19,455,143.44,2024-04-04,2024-07-12,SYS_B,BATCH-5659
Person_094,person_094@example.com,555-0094,174-34-5379,19,M,West,Single,67212.81,14424.01,477,39.02,2024-01-07,2024-09-30,SYS_A,BATCH-8054
Person_095,person_095@example.com,555-0095,703-53-4970,62,F,Northwest,Divorced,62325.17,25077.65,629,52.03,2024-12-14,2024-09-15,SYS_A,BATCH-9879
Person_096,person_096@example.com,555-0096,943-24-6144,28,M,Southeast,Single,60105.95,14047.77,513,14.09,2024-01-10,2024-12-14,SYS_A,BATCH-4746
Person_097,person_097@example.com,555-0097,587-52-8267,59,M,South,Single,41761.49,7881.57,377,1.0,2024-10-17,2024-07-12,SYS_B,BATCH-7739
Person_098,person_098@example.com,555-0098,340-94-3983,63,F,South,Married,72674.17,11062.02,751,495.83,2024-07-05,2024-10-26,SYS_A,BATCH-9435
Person_099,person_099@example.com,555-0099,589-56-8647,71,F,Northwest,Single,47916.78,16606.8,532,8.28,2024-07-31,2024-08-02,SYS_B,BATCH-8471
Person_100,person_100@example.com,555-0100,494-35-1194,62,M,South,Single,38424.22,12011.89,441,149.74,2024-10-23,2024-12-09,SYS_A,BATCH-3613
Person_101,person_101@example.com,555-0101,426-83-1089,36,M,Midlands,Married,41942.48,18882.43,701,595.34,2024-11-22,2024-12-03,SYS_A,BATCH-8356
Person_102,person_102@example.com,555-0102,905-58-2262,64,M,North,Single,134634.62,19182.75,710,159.91,2024-02-16,2024-08-11,SYS_B,BATCH-4709
Person_103,person_103@example.com,555-0103,371-59-3840,70,F,Northeast,Divorced,20588.99,22111.87,385,37.9,2024-01-07,2024-12-07,SYS_A,BATCH-1157
Person_104,person_104@example.com,555-0104,197-69-7049,37,F,Northwest,Widowed,62937.29,26388.48,340,616.98,2024-02-15,2024-09-28,SYS_A,BATCH-7829
Person_105,person_105@example.com,555-0105,206-35-3194,25,M,South,Married,21172.21,22966.87,325,315.61,2024-09-06,2024-12-25,SYS_B,BATCH-8517
Person_106,person_106@example.com,555-0106,692-74-7542,74,F,East,Married,46438.46,7526.09,721,4.75,2024-07-26,2024-11-11,SYS_A,BATCH-4092
Person_107,person_107@example.com,555-0107,943-78-3885,27,M,Midlands,Married,39465.66,7771.72,644,379.01,2024-01-31,2024-07-05,SYS_B,BATCH-5057
Person_108,person_108@example.com,555-0108,196-64-9243,55,M,South,Widowed,20000.0,14393.83,736,303.86,2024-03-26,2024-08-05,SYS_A,BATCH-4278
Person_109,person_109@example.com,555-0109,976-30-3127,32,Other,West,Single,59546.86,11390.6,645,456.02,2024-07-15,2024-09-11,SYS_A,BATCH-2053
Person_110,person_110@example.com,555-0110,133-22-5993,25,M,West,Single,40537.43,5893.39,521,263.84,2024-09-23,2024-08-07,SYS_A,BATCH-9952
Person_111,person_111@example.com,555-0111,591-43-3789,66,M,South,Married,20000.0,11466.47,624,57.29,2024-05-05,2024-07-23,SYS_A,BATCH-1203
Person_112,person_112@example.com,555-0112,845-50-8273,27,M,Northwest,Married,74591.66,11203.9,698,268.77,2024-12-12,2024-12-26,SYS_A,BATCH-5999
Person_113,person_113@example.com,555-0113,965-38-2824,60,F,Northwest,Single,100458.81,9625.22,519,313.47,2024-12-28,2024-12-06,SYS_B,BATCH-1134
Person_114,person_114@example.com,555-0114,956-66-3617,61,F,West,Married,103265.87,12473.68,804,406.29,2024-10-06,2024-09-17,SYS_A,BATCH-7203
Person_115,person_115@example.com,555-0115,659-55-9148,21,Other,Northwest,Single,58657.94,24427.61,795,126.4,2024-06-14,2024-08-07,SYS_A,BATCH-9106
Person_116,person_116@example.com,555-0116,330-98-9423,28,M,South,Widowed,50162.8,16593.9,741,143.94,2024-11-16,2024-08-01,SYS_B,BATCH-6790
Person_117,person_117@example.com,555-0117,262-24-5797,68,M,North,Single,95232.67,34774.47,846,189.03,2024-09-22,2024-12-15,SYS_A,BATCH-6454
Person_118,person_118@example.com,555-0118,140-36-4915,49,F,Central,Single,113685.57,16364.07,515,170.85,2024-07-08,2024-08-29,SYS_A,BATCH-8450
Person_119,person_119@example.com,555-0119,971-98-2363,25,M,Midlands,,86403.58,12679.47,362,144.66,2024-06-10,2024-07-01,SYS_B,BATCH-9767
Person_120,person_120@example.com,555-0120,901-18-7736,80,F,North,Single,30614.57,15033.06,566,82.13,2024-10-30,2024-09-10,SYS_B,BATCH-8755
Person_121,person_121@example.com,555-0121,860-89-3010,34,F,South,Single,54212.81,17051.94,710,42.11,2024-07-22,2024-09-21,SYS_A,BATCH-3082
Person_122,person_122@example.com,555-0122,903-20-5669,18,M,Central,Single,61068.9,18482.03,729,266.95,2024-03-07,2024-10-22,SYS_A,BATCH-6068
Person_123,person_123@example.com,555-0123,522-38-1199,76,F,Northwest,Single,20000.0,31613.69,514,383.18,2024-12-30,2024-08-30,SYS_A,BATCH-8368
Person_124,person_124@example.com,555-0124,794-39-6954,19,M,North,Single,61987.02,8237.44,461,180.67,2024-01-25,2024-12-16,SYS_B,BATCH-3650
Person_125,person_125@example.com,555-0125,468-43-8975,52,M,West,Married,150000.0,21872.37,545,167.13,2024-09-10,2024-10-26,SYS_A,BATCH-7076
Person_126,person_126@example.com,555-0126,184-75-7720,80,F,Southeast,Married,67505.75,16662.0,742,682.54,2024-08-27,2024-12-28,SYS_B,BATCH-1205
Person_127,person_127@example.com,555-0127,441-33-1047,54,F,West,Single,102406.61,2431.22,333,295.5,2024-08-01,2024-09-04,SYS_A,BATCH-8895
Person_128,person_128@example.com,555-0128,942-94-3168,54,F,South,Single,53715.53,21165.59,480,156.55,2024-01-19,2024-10-27,SYS_A,BATCH-6529
Person_129,person_129@example.com,555-0129,128-20-1608,42,F,South,Single,47258.64,25140.99,426,131.37,2024-06-28,2024-09-04,SYS_B,BATCH-7687
Person_130,person_130@example.com,555-0130,847-89-2379,25,Other,West,,59316.08,8142.59,744,117.09,2024-11-21,2024-11-05,SYS_A,BATCH-8428
Person_131,person_131@example.com,555-0131,771-25-4304,54,Other,Central,Single,32600.62,14928.53,558,211.92,2024-03-28,2024-11-13,SYS_A,BATCH-2968
Person_132,person_132@example.com,555-0132,638-74-8870,74,F,Southwest,Married,30276.05,1197.17,347,211.85,2024-09-09,2024-08-27,SYS_B,BATCH-5054
Person_133,person_133@example.com,555-0133,140-27-3524,23,M,Northeast,Widowed,92332.57,4929.55,444,394.96,2024-11-09,2024-12-19,SYS_B,BATCH-8726
Person_134,person_134@example.com,555-0134,378-98-7995,73,F,Southeast,Widowed,97360.04,23384.24,324,59.79,2024-12-13,2024-12-04,SYS_A,BATCH-2482
Person_135,person_135@example.com,555-0135,388-96-5493,44,Other,Midlands,Married,29865.13,11268.67,562,404.23,2024-07-07,2024-12-11,SYS_B,BATCH-8401
Person_136,person_136@example.com,555-0136,550-48-2294,51,M,West,Married,79538.73,6129.58,849,284.68,2024-04-24,2024-08-08,SYS_B,BATCH-3592
Person_137,person_137@example.com,555-0137,940-11-2568,28,M,West,Single,46935.05,16835.68,612,105.03,2024-09-12,2024-11-08,SYS_B,BATCH-6178
Person_138,person_138@example.com,555-0138,306-34-2186,57,M,Midlands,,58099.03,10820.7,779,72.79,2024-06-26,2024-07-18,SYS_A,BATCH-5589
Person_139,person_139@example.com,555-0139,116-70-9722,29,M,South,Married,61704.33,11233.43,709,282.05,2024-08-16,2024-07-18,SYS_B,BATCH-7177
Person_140,person_140@example.com,555-0140,209-36-5556,35,F,Southeast,Divorced,80593.66,20914.61,786,181.12,2024-09-27,2024-12-26,SYS_A,BATCH-8529
Person_141,person_141@example.com,555-0141,933-71-7894,63,M,Southeast,Divorced,51090.77,5706.13,471,41.73,2024-09-16,2024-07-27,SYS_B,BATCH-4140
Person_142,person_142@example.com,555-0142,622-47-2797,21,F,North,Married,99218.62,7757.08,824,146.65,2024-03-29,2024-12-05,SYS_B,BATCH-2545
Person_143,person_143@example.com,555-0143,877-81-1225,46,F,West,Married,57222.73,16232.64,431,305.37,2024-10-02,2024-09-16,SYS_A,BATCH-4805
Person_144,person_144@example.com,555-0144,743-17-7650,55,F,South,Divorced,66976.17,22755.28,541,298.93,2024-07-16,2024-08-24,SYS_B,BATCH-6508
Person_145,person_145@example.com,555-0145,842-21-4904,26,M,South,Single,32317.65,24905.28,675,208.82,2024-12-05,2024-07-12,SYS_A,BATCH-7753
Person_146,person_146@example.com,555-0146,211-60-9347,36,M,West,Widowed,144253.8,9679.51,458,293.54,2024-08-28,2024-10-31,SYS_A,BATCH-7779
Person_147,person_147@example.com,555-0147,172-45-9757,39,F,East,Single,62001.41,22499.02,445,232.59,2024-11-21,2024-11-09,SYS_B,BATCH-4059
Person_148,person_148@example.com,555-0148,370-21-5396,59,F,Northwest,Widowed,70017.38,8726.86,371,207.85,2024-12-23,2024-09-23,SYS_B,BATCH-9423
Person_149,person_149@example.com,555-0149,557-68-3823,79,F,Midlands,Married,21936.5,29609.67,302,78.89,2024-12-28,2024-11-25,SYS_B,BATCH-1748
Person_150,person_150@example.com,555-0150,959-56-3577,70,F,Northwest,Single,32488.74,5929.83,576,315.12,2024-09-28,2024-08-27,SYS_B,BATCH-2050
Person_151,person_151@example.com,555-0151,963-92-5491,29,M,South,Married,91029.77,25627.83,843,175.08,2024-08-06,2024-10-09,SYS_B,BATCH-1222
Person_152,person_152@example.com,555-0152,122-63-5996,19,F,East,Single,56581.96,9748.11,421,367.19,2024-02-13,2024-08-21,SYS_A,BATCH-9336
Person_153,person_153@example.com,555-0153,233-66-8566,21,M,South,Married,20000.0,31105.97,542,283.5,2024-05-20,2024-10-14,SYS_B,BATCH-2620
Person_154,person_154@example.com,555-0154,195-74-2262,55,M,North,Married,82383.87,19730.57,815,9.13,2024-06-22,2024-07-24,SYS_A,BATCH-6412
Person_155,person_155@example.com,555-0155,773-47-1058,27,F,Midlands,Married,37350.76,6871.87,725,147.38,2024-10-11,2024-09-25,SYS_A,BATCH-8315
Person_156,person_156@example.com,555-0156,968-24-6363,32,M,West,Divorced,99275.94,10822.09,302,112.55,2024-08-02,2024-10-08,SYS_A,BATCH-7899
Person_157,person_157@example.com,555-0157,263-93-7644,71,M,South,,46914.5,21249.45,575,80.47,2024-06-09,2024-10-09,SYS_A,BATCH-9538
Person_158,person_158@example.com,555-0158,823-48-5205,73,M,Southwest,Single,54304.01,23421.16,378,212.04,2024-02-23,2024-09-19,SYS_A,BATCH-1483
Person_159,person_159@example.com,555-0159,670-79-8621,70,M,West,,88386.74,14434.28,436,71.08,2024-09-18,2024-10-26,SYS_B,BATCH-4663
Person_160,person_160@example.com,555-0160,116-69-1982,33,F,North,Single,31296.25,15357.27,435,41.62,2024-06-06,2024-10-01,SYS_B,BATCH-5554
Person_161,person_161@example.com,555-0161,358-83-3254,57,M,South,Married,29839.15,21066.82,637,42.43,2024-01-14,2024-08-20,SYS_A,BATCH-7264
Person_162,person_162@example.com,555-0162,816-51-3093,56,F,Northeast,Single,44433.58,16054.39,409,49.05,2024-04-13,2024-08-07,SYS_A,BATCH-6603
Person_163,person_163@example.com,555-0163,400-57-7885,29,F,Northwest,Married,74130.8,,438,203.64,2024-11-17,2024-10-26,SYS_B,BATCH-6038
Person_164,person_164@example.com,555-0164,644-93-8808,52,M,South,Married,25199.04,8496.21,424,681.33,2024-02-13,2024-12-19,SYS_A,BATCH-3761
Person_165,person_165@example.com,555-0165,777-63-3608,51,M,Midlands,Divorced,21289.79,16880.96,496,96.66,2024-05-28,2024-11-15,SYS_B,BATCH-1958
Person_166,person_166@example.com,555-0166,470-20-4367,42,F,Southwest,Single,74002.97,24723.86,661,423.5,2024-07-05,2024-10-25,SYS_B,BATCH-4884
Person_167,person_167@example.com,555-0167,932-47-2023,65,F,Southwest,Divorced,36261.46,27927.86,520,48.69,2024-01-31,2024-12-16,SYS_A,BATCH-3336
Person_168,person_168@example.com,555-0168,686-95-8806,60,F,South,Married,40291.14,,480,102.07,2024-03-01,2024-12-12,SYS_B,BATCH-5988
Person_169,person_169@example.com,555-0169,346-50-5778,51,F,North,Single,20000.0,17298.33,585,420.63,2024-12-09,2024-09-30,SYS_B,BATCH-8173
Person_170,person_170@example.com,555-0170,322-33-3129,63,M,Southwest,Married,34909.36,20990.51,638,293.45,2024-08-03,2024-07-19,SYS_B,BATCH-5972
Person_171,person_171@example.com,555-0171,994-76-8566,66,M,East,Married,48835.67,9665.99,308,300.32,2024-03-17,2024-10-24,SYS_A,BATCH-6246
Person_172,person_172@example.com,555-0172,834-95-1947,53,F,Northeast,Single,78056.56,13774.15,790,365.46,2024-03-02,2024-10-22,SYS_B,BATCH-1376
Person_173,person_173@example.com,555-0173,892-15-5278,34,M,Southeast,Married,33335.72,8406.95,804,695.46,2024-06-04,2024-08-19,SYS_B,BATCH-6801
Person_174,person_174@example.com,555-0174,634-41-2315,65,F,North,Single,112272.93,5010.06,632,268.22,2024-09-21,2024-12-03,SYS_A,BATCH-4954
